['Qh', '6s', '2d', '8h', '3h', 'Kc']
['9s', 'Ah', '3h', 'Td', '7c', 'Js']
['9s', 'Ah', '3h', 'Td', '7c', 'Js']
['2h', 'Ts', '6c', 'Jh', '4c', '6h']
['2h', 'Ts', '6c', 'Jh', '4c', '6h']
['2h', 'Ts', '6c', 'Jh', '4c', '6h']
['2h', 'Ts', '6c', 'Jh', '4c', '6h']
['2h', 'Ts', '6c', 'Jh', '4c', '6h']
['2d', 'Ts', '9s', '4c', 'Ah', '2h']
['2d', 'Ts', '9s', '4c', 'Ah', '2h']
['2d', 'Ts', '9s', '4c', 'Ah', '2h']
['2d', 'Ts', '9s', '4c', 'Ah', '2h']
['2d', 'Ts', '9s', '4c', 'Ah', '2h']
['8s', 'Ts', '7s', '5d', 'Ks', 'Kh']
['8s', 'Ts', '7s', '5d', 'Ks', 'Kh']
['8s', 'Ts', '7s', '5d', 'Ks', 'Kh']
['8s', 'Ts', '7s', '5d', 'Ks', 'Kh']
['8s', 'Ts', '7s', '5d', 'Ks', 'Kh']
['Jd', '7s', '5h', '9c', 'Th', '7d']
['Jd', '7s', '5h', '9c', 'Th', '7d']
['Jd', '7s', '5h', '9c', 'Th', '7d']
['Jd', '7s', '5h', '9c', 'Th', '7d']
['Jd', '7s', '5h', '9c', 'Th', '7d']
['Qs', '2c', '2h', '6d', 'Kh', '9d']
['Qs', '2c', '2h', '6d', 'Kh', '9d']
['Qs', '2c', '2h', '6d', 'Kh', '9d']
['Qs', '2c', '2h', '6d', 'Kh', '9d']
['Qs', '2c', '2h', '6d', 'Kh', '9d']
['2d', '6h', 'Ts', 'Th', '9c', 'Qh']
['2d', '6h', 'Ts', 'Th', '9c', 'Qh']
['2d', '6h', 'Ts', 'Th', '9c', 'Qh']
['2d', '6h', 'Ts', 'Th', '9c', 'Qh']
['2d', '6h', 'Ts', 'Th', '9c', 'Qh']
['Ah', '5s', '9s', '3s', '6c', 'Jc']
['Ah', '5s', '9s', '3s', '6c', 'Jc']
['Ah', '5s', '9s', '3s', '6c', 'Jc']
['Ah', '5s', '9s', '3s', '6c', 'Jc']
['Ah', '5s', '9s', '3s', '6c', 'Jc']
['3s', 'Td', 'Jd', '8d', 'Js', '9c']
['3s', 'Td', 'Jd', '8d', 'Js', '9c']
['3s', 'Td', 'Jd', '8d', 'Js', '9c']
['3s', 'Td', 'Jd', '8d', 'Js', '9c']
['3s', 'Td', 'Jd', '8d', 'Js', '9c']
['Th', '8s', '5d', '8d', '2s', 'Td']
['Th', '8s', '5d', '8d', '2s', 'Td']
['Th', '8s', '5d', '8d', '2s', 'Td']
['Th', '8s', '5d', '8d', '2s', 'Td']
['Th', '8s', '5d', '8d', '2s', 'Td']
['Ts', 'Qs', 'Jh', '7d', '2s', '4h']
['Ts', 'Qs', 'Jh', '7d', '2s', '4h']
['Ts', 'Qs', 'Jh', '7d', '2s', '4h']
['Ts', 'Qs', 'Jh', '7d', '2s', '4h']
['Ts', 'Qs', 'Jh', '7d', '2s', '4h']
['3d', 'Jd', '6c', '3c', '2s', 'Ks']
['3d', 'Jd', '6c', '3c', '2s', 'Ks']
['3d', 'Jd', '6c', '3c', '2s', 'Ks']
['3d', 'Jd', '6c', '3c', '2s', 'Ks']
['3d', 'Jd', '6c', '3c', '2s', 'Ks']
['5c', 'Qh', '2c', '4s', 'Jc', '6d']
['5c', 'Qh', '2c', '4s', 'Jc', '6d']
['5c', 'Qh', '2c', '4s', 'Jc', '6d']
['5c', 'Qh', '2c', '4s', 'Jc', '6d']
['5c', 'Qh', '2c', '4s', 'Jc', '6d']
['3c', 'Kd', '7c', '7d', '9d', 'Kh']
['3c', 'Kd', '7c', '7d', '9d', 'Kh']
['3c', 'Kd', '7c', '7d', '9d', 'Kh']
['3c', 'Kd', '7c', '7d', '9d', 'Kh']
['3c', 'Kd', '7c', '7d', '9d', 'Kh']
['8c', '3s', 'Ks', '7d', '9s', '7c']
['8c', '3s', 'Ks', '7d', '9s', '7c']
['8c', '3s', 'Ks', '7d', '9s', '7c']
['8c', '3s', 'Ks', '7d', '9s', '7c']
['8c', '3s', 'Ks', '7d', '9s', '7c']
['Jc', 'Qs', '3s', 'Ts', '9s', '5h']
['Jc', 'Qs', '3s', 'Ts', '9s', '5h']
['Jc', 'Qs', '3s', 'Ts', '9s', '5h']
['Jc', 'Qs', '3s', 'Ts', '9s', '5h']
['Jc', 'Qs', '3s', 'Ts', '9s', '5h']
['6s', '2s', 'Qs', '5s', '8h', 'Kd']
['6s', '2s', 'Qs', '5s', '8h', 'Kd']
['6s', '2s', 'Qs', '5s', '8h', 'Kd']
['6s', '2s', 'Qs', '5s', '8h', 'Kd']
['6s', '2s', 'Qs', '5s', '8h', 'Kd']
['Ad', '4h', 'Tc', '6s', 'Td', '2s']
['Ad', '4h', 'Tc', '6s', 'Td', '2s']
['Ad', '4h', 'Tc', '6s', 'Td', '2s']
['Ad', '4h', 'Tc', '6s', 'Td', '2s']
['Ad', '4h', 'Tc', '6s', 'Td', '2s']
['As', 'Ac', '8s', 'Td', '3d', '3h']
['As', 'Ac', '8s', 'Td', '3d', '3h']
['As', 'Ac', '8s', 'Td', '3d', '3h']
['As', 'Ac', '8s', 'Td', '3d', '3h']
['As', 'Ac', '8s', 'Td', '3d', '3h']
['8c', '3d', '7c', '2d', '7d', '4s']
['8c', '3d', '7c', '2d', '7d', '4s']
['8c', '3d', '7c', '2d', '7d', '4s']
['8c', '3d', '7c', '2d', '7d', '4s']
['8c', '3d', '7c', '2d', '7d', '4s']
['8d', 'Ts', '4h', '5s', '9d', '6s']
['8d', 'Ts', '4h', '5s', '9d', '6s']
['8d', 'Ts', '4h', '5s', '9d', '6s']
['8d', 'Ts', '4h', '5s', '9d', '6s']
['8d', 'Ts', '4h', '5s', '9d', '6s']
['Kc', '5d', '8c', '8d', '6c', 'Js']
['Kc', '5d', '8c', '8d', '6c', 'Js']
['Kc', '5d', '8c', '8d', '6c', 'Js']
['Kc', '5d', '8c', '8d', '6c', 'Js']
['Kc', '5d', '8c', '8d', '6c', 'Js']
['8d', 'Ah', '4d', '8h', 'Ks', 'Kc']
['8d', 'Ah', '4d', '8h', 'Ks', 'Kc']
['8d', 'Ah', '4d', '8h', 'Ks', 'Kc']
['8d', 'Ah', '4d', '8h', 'Ks', 'Kc']
['8d', 'Ah', '4d', '8h', 'Ks', 'Kc']
['Jc', '6s', 'Tc', 'Kc', '9d', 'Jd']
['Jc', '6s', 'Tc', 'Kc', '9d', 'Jd']
['Jc', '6s', 'Tc', 'Kc', '9d', 'Jd']
['Jc', '6s', 'Tc', 'Kc', '9d', 'Jd']
['Jc', '6s', 'Tc', 'Kc', '9d', 'Jd']
['9h', '5h', 'Td', '8h', '8s', 'Jd']
['9h', '5h', 'Td', '8h', '8s', 'Jd']
['9h', '5h', 'Td', '8h', '8s', 'Jd']
['9h', '5h', 'Td', '8h', '8s', 'Jd']
['9h', '5h', 'Td', '8h', '8s', 'Jd']
['Td', '3h', 'Jc', 'Kc', 'Th', '3c']
['Td', '3h', 'Jc', 'Kc', 'Th', '3c']
['Td', '3h', 'Jc', 'Kc', 'Th', '3c']
['Td', '3h', 'Jc', 'Kc', 'Th', '3c']
['Td', '3h', 'Jc', 'Kc', 'Th', '3c']
['4h', '8c', '9h', 'Ts', '7c', 'Th']
['4h', '8c', '9h', 'Ts', '7c', 'Th']
['4h', '8c', '9h', 'Ts', '7c', 'Th']
['4h', '8c', '9h', 'Ts', '7c', 'Th']
['4h', '8c', '9h', 'Ts', '7c', 'Th']
['5c', '8c', '7c', 'Ah', '2c', '7d']
['5c', '8c', '7c', 'Ah', '2c', '7d']
['5c', '8c', '7c', 'Ah', '2c', '7d']
['5c', '8c', '7c', 'Ah', '2c', '7d']
['5c', '8c', '7c', 'Ah', '2c', '7d']
['Ac', '4h', 'Ks', 'As', 'Jd', 'Kc']
['Ac', '4h', 'Ks', 'As', 'Jd', 'Kc']
['Ac', '4h', 'Ks', 'As', 'Jd', 'Kc']
['Ac', '4h', 'Ks', 'As', 'Jd', 'Kc']
['Ac', '4h', 'Ks', 'As', 'Jd', 'Kc']
['Jc', 'Th', '8c', '6c', '8h', '9s']
['Jc', 'Th', '8c', '6c', '8h', '9s']
['Jc', 'Th', '8c', '6c', '8h', '9s']
['Jc', 'Th', '8c', '6c', '8h', '9s']
['Jc', 'Th', '8c', '6c', '8h', '9s']
['Qc', 'Kc', '5c', '8d', '4d', '4s']
['Qc', 'Kc', '5c', '8d', '4d', '4s']
['Qc', 'Kc', '5c', '8d', '4d', '4s']
['Qc', 'Kc', '5c', '8d', '4d', '4s']
['Qc', 'Kc', '5c', '8d', '4d', '4s']
['3s', '5d', 'Jh', '8d', '7s', '7h']
['3s', '5d', 'Jh', '8d', '7s', '7h']
['3s', '5d', 'Jh', '8d', '7s', '7h']
['3s', '5d', 'Jh', '8d', '7s', '7h']
['3s', '5d', 'Jh', '8d', '7s', '7h']
['4c', 'Jd', 'Td', 'Th', '8h', 'Jh']
['4c', 'Jd', 'Td', 'Th', '8h', 'Jh']
['4c', 'Jd', 'Td', 'Th', '8h', 'Jh']
['4c', 'Jd', 'Td', 'Th', '8h', 'Jh']
['4c', 'Jd', 'Td', 'Th', '8h', 'Jh']
['8s', '9c', '9d', 'Tc', '3c', '7h']
['8s', '9c', '9d', 'Tc', '3c', '7h']
['8s', '9c', '9d', 'Tc', '3c', '7h']
['8s', '9c', '9d', 'Tc', '3c', '7h']
['8s', '9c', '9d', 'Tc', '3c', '7h']
['2h', '3c', 'Jd', '3d', '4d', '9c']
['2h', '3c', 'Jd', '3d', '4d', '9c']
['2h', '3c', 'Jd', '3d', '4d', '9c']
['2h', '3c', 'Jd', '3d', '4d', '9c']
['2h', '3c', 'Jd', '3d', '4d', '9c']
['Ks', '5h', '2d', '4c', '3s', '6c']
['Ks', '5h', '2d', '4c', '3s', '6c']
['Ks', '5h', '2d', '4c', '3s', '6c']
['Ks', '5h', '2d', '4c', '3s', '6c']
['Ks', '5h', '2d', '4c', '3s', '6c']
['Jh', '9s', 'Qs', '7s', '4s', 'Kd']
['Jh', '9s', 'Qs', '7s', '4s', 'Kd']
['Jh', '9s', 'Qs', '7s', '4s', 'Kd']
['Jh', '9s', 'Qs', '7s', '4s', 'Kd']
['Jh', '9s', 'Qs', '7s', '4s', 'Kd']
['2c', '9c', '8h', '5c', '8d', '3d']
['2c', '9c', '8h', '5c', '8d', '3d']
['2c', '9c', '8h', '5c', '8d', '3d']
['2c', '9c', '8h', '5c', '8d', '3d']
['2c', '9c', '8h', '5c', '8d', '3d']
['Qd', 'Ac', '8s', 'Qs', '7d', '9c']
['Qd', 'Ac', '8s', 'Qs', '7d', '9c']
['Qd', 'Ac', '8s', 'Qs', '7d', '9c']
['Qd', 'Ac', '8s', 'Qs', '7d', '9c']
['Qd', 'Ac', '8s', 'Qs', '7d', '9c']
['Kc', 'Qs', 'Js', '2s', 'Tc', 'Kd']
['Kc', 'Qs', 'Js', '2s', 'Tc', 'Kd']
['Kc', 'Qs', 'Js', '2s', 'Tc', 'Kd']
['Kc', 'Qs', 'Js', '2s', 'Tc', 'Kd']
['Kc', 'Qs', 'Js', '2s', 'Tc', 'Kd']
['Ts', '4h', 'Qs', '8d', '6c', 'Kd']
['Ts', '4h', 'Qs', '8d', '6c', 'Kd']
['Ts', '4h', 'Qs', '8d', '6c', 'Kd']
['Ts', '4h', 'Qs', '8d', '6c', 'Kd']
['Ts', '4h', 'Qs', '8d', '6c', 'Kd']
['Jh', '7c', 'Qh', 'Ac', '5c', 'Jc']
['Jh', '7c', 'Qh', 'Ac', '5c', 'Jc']
['Jh', '7c', 'Qh', 'Ac', '5c', 'Jc']
['Jh', '7c', 'Qh', 'Ac', '5c', 'Jc']
['Jh', '7c', 'Qh', 'Ac', '5c', 'Jc']
['Qd', 'Js', '2c', '6s', '3c', '7h']
['Qd', 'Js', '2c', '6s', '3c', '7h']
['Qd', 'Js', '2c', '6s', '3c', '7h']
['Qd', 'Js', '2c', '6s', '3c', '7h']
['Qd', 'Js', '2c', '6s', '3c', '7h']
['7h', '6d', '6s', 'Ah', '3s', '9c']
['7h', '6d', '6s', 'Ah', '3s', '9c']
['7h', '6d', '6s', 'Ah', '3s', '9c']
['7h', '6d', '6s', 'Ah', '3s', '9c']
['7h', '6d', '6s', 'Ah', '3s', '9c']
['Jh', '4s', '8d', 'Td', 'Jc', '7c']
['Jh', '4s', '8d', 'Td', 'Jc', '7c']
['Jh', '4s', '8d', 'Td', 'Jc', '7c']
['Jh', '4s', '8d', 'Td', 'Jc', '7c']
['Jh', '4s', '8d', 'Td', 'Jc', '7c']
['Kh', 'Js', 'Tc', 'Ts', 'Ad', '8d']
['Kh', 'Js', 'Tc', 'Ts', 'Ad', '8d']
['Kh', 'Js', 'Tc', 'Ts', 'Ad', '8d']
['Kh', 'Js', 'Tc', 'Ts', 'Ad', '8d']
['Kh', 'Js', 'Tc', 'Ts', 'Ad', '8d']
['9h', '7h', 'Qc', '4d', '5d', '6s']
['9h', '7h', 'Qc', '4d', '5d', '6s']
['9h', '7h', 'Qc', '4d', '5d', '6s']
['9h', '7h', 'Qc', '4d', '5d', '6s']
['9h', '7h', 'Qc', '4d', '5d', '6s']
['Jh', '4c', '6d', '4s', '9c', 'Qs']
['Jh', '4c', '6d', '4s', '9c', 'Qs']
['Jh', '4c', '6d', '4s', '9c', 'Qs']
['Jh', '4c', '6d', '4s', '9c', 'Qs']
['Jh', '4c', '6d', '4s', '9c', 'Qs']
['Ah', 'Qs', 'Kd', '5c', '8d', 'Qd']
['Ah', 'Qs', 'Kd', '5c', '8d', 'Qd']
['Ah', 'Qs', 'Kd', '5c', '8d', 'Qd']
['Ah', 'Qs', 'Kd', '5c', '8d', 'Qd']
['Ah', 'Qs', 'Kd', '5c', '8d', 'Qd']
['2h', '9h', '9s', 'Qc', '5c', '5h']
['2h', '9h', '9s', 'Qc', '5c', '5h']
['2h', '9h', '9s', 'Qc', '5c', '5h']
['2h', '9h', '9s', 'Qc', '5c', '5h']
['2h', '9h', '9s', 'Qc', '5c', '5h']
['2s', '4d', '6s', '6h', '4h', '5d']
['2s', '4d', '6s', '6h', '4h', '5d']
['2s', '4d', '6s', '6h', '4h', '5d']
['2s', '4d', '6s', '6h', '4h', '5d']
['2s', '4d', '6s', '6h', '4h', '5d']
['8h', 'Jh', '9c', '9h', 'Jc', '2d']
['8h', 'Jh', '9c', '9h', 'Jc', '2d']
['8h', 'Jh', '9c', '9h', 'Jc', '2d']
['8h', 'Jh', '9c', '9h', 'Jc', '2d']
['8h', 'Jh', '9c', '9h', 'Jc', '2d']
['Ah', 'Jc', 'Ks', 'Ad', '4s', '9c']
['Ah', 'Jc', 'Ks', 'Ad', '4s', '9c']
['Ah', 'Jc', 'Ks', 'Ad', '4s', '9c']
['Ah', 'Jc', 'Ks', 'Ad', '4s', '9c']
['Ah', 'Jc', 'Ks', 'Ad', '4s', '9c']
['5s', 'Ts', '2c', '7s', 'Jc', 'Qs']
['5s', 'Ts', '2c', '7s', 'Jc', 'Qs']
['5s', 'Ts', '2c', '7s', 'Jc', 'Qs']
['5s', 'Ts', '2c', '7s', 'Jc', 'Qs']
['5s', 'Ts', '2c', '7s', 'Jc', 'Qs']
['6s', '5h', 'Th', 'Kh', 'Jc', '2d']
['6s', '5h', 'Th', 'Kh', 'Jc', '2d']
['6s', '5h', 'Th', 'Kh', 'Jc', '2d']
['6s', '5h', 'Th', 'Kh', 'Jc', '2d']
['6s', '5h', 'Th', 'Kh', 'Jc', '2d']
['7h', '8s', 'Ah', '7s', '6c', '6h']
['7h', '8s', 'Ah', '7s', '6c', '6h']
['7h', '8s', 'Ah', '7s', '6c', '6h']
['7h', '8s', 'Ah', '7s', '6c', '6h']
['7h', '8s', 'Ah', '7s', '6c', '6h']
['Tc', 'Qc', 'Kc', '6h', 'Th', '8d']
['Tc', 'Qc', 'Kc', '6h', 'Th', '8d']
['Tc', 'Qc', 'Kc', '6h', 'Th', '8d']
['Tc', 'Qc', 'Kc', '6h', 'Th', '8d']
['Tc', 'Qc', 'Kc', '6h', 'Th', '8d']
['4h', 'Js', '4s', '8s', 'Td', 'Th']
['4h', 'Js', '4s', '8s', 'Td', 'Th']
['4h', 'Js', '4s', '8s', 'Td', 'Th']
['4h', 'Js', '4s', '8s', 'Td', 'Th']
['4h', 'Js', '4s', '8s', 'Td', 'Th']
['Qs', 'Kc', '6c', '8d', '8s', 'Ad']
['Qs', 'Kc', '6c', '8d', '8s', 'Ad']
['Qs', 'Kc', '6c', '8d', '8s', 'Ad']
['Qs', 'Kc', '6c', '8d', '8s', 'Ad']
['Qs', 'Kc', '6c', '8d', '8s', 'Ad']
['4d', 'Ac', '5d', '7d', '8h', 'Td']
['4d', 'Ac', '5d', '7d', '8h', 'Td']
['4d', 'Ac', '5d', '7d', '8h', 'Td']
['4d', 'Ac', '5d', '7d', '8h', 'Td']
['4d', 'Ac', '5d', '7d', '8h', 'Td']
['As', '9d', '3h', '4c', 'Jc', '5s']
['As', '9d', '3h', '4c', 'Jc', '5s']
['As', '9d', '3h', '4c', 'Jc', '5s']
['As', '9d', '3h', '4c', 'Jc', '5s']
['As', '9d', '3h', '4c', 'Jc', '5s']
['9d', '5d', '9c', 'As', '4s', '3c']
['9d', '5d', '9c', 'As', '4s', '3c']
['9d', '5d', '9c', 'As', '4s', '3c']
['9d', '5d', '9c', 'As', '4s', '3c']
['9d', '5d', '9c', 'As', '4s', '3c']
['2d', 'Jc', 'Kc', '3c', '6s', '4d']
['2d', 'Jc', 'Kc', '3c', '6s', '4d']
['2d', 'Jc', 'Kc', '3c', '6s', '4d']
['2d', 'Jc', 'Kc', '3c', '6s', '4d']
['2d', 'Jc', 'Kc', '3c', '6s', '4d']
['Jc', '8s', '7h', '2c', '2h', 'Ad']
['Jc', '8s', '7h', '2c', '2h', 'Ad']
['Jc', '8s', '7h', '2c', '2h', 'Ad']
['Jc', '8s', '7h', '2c', '2h', 'Ad']
['Jc', '8s', '7h', '2c', '2h', 'Ad']
['Ac', '4h', 'Kc', 'Qc', 'Th', '7h']
['Ac', '4h', 'Kc', 'Qc', 'Th', '7h']
['Ac', '4h', 'Kc', 'Qc', 'Th', '7h']
['Ac', '4h', 'Kc', 'Qc', 'Th', '7h']
['Ac', '4h', 'Kc', 'Qc', 'Th', '7h']
['3c', 'Qd', 'Jc', '9c', 'Ah', '7c']
['3c', 'Qd', 'Jc', '9c', 'Ah', '7c']
['3c', 'Qd', 'Jc', '9c', 'Ah', '7c']
['3c', 'Qd', 'Jc', '9c', 'Ah', '7c']
['3c', 'Qd', 'Jc', '9c', 'Ah', '7c']
['2d', 'Qc', 'As', '9h', '9c', '8s']
['2d', 'Qc', 'As', '9h', '9c', '8s']
['2d', 'Qc', 'As', '9h', '9c', '8s']
['2d', 'Qc', 'As', '9h', '9c', '8s']
['2d', 'Qc', 'As', '9h', '9c', '8s']
['4h', 'Jd', '9s', '2d', 'Kd', '4s']
['4h', 'Jd', '9s', '2d', 'Kd', '4s']
['4h', 'Jd', '9s', '2d', 'Kd', '4s']
['4h', 'Jd', '9s', '2d', 'Kd', '4s']
['4h', 'Jd', '9s', '2d', 'Kd', '4s']
['7s', 'Th', 'Ks', 'Kh', 'Qh', '7c']
['7s', 'Th', 'Ks', 'Kh', 'Qh', '7c']
['7s', 'Th', 'Ks', 'Kh', 'Qh', '7c']
['7s', 'Th', 'Ks', 'Kh', 'Qh', '7c']
['7s', 'Th', 'Ks', 'Kh', 'Qh', '7c']
['7h', 'Jd', 'Kc', 'Ad', '5h', '6s']
['7h', 'Jd', 'Kc', 'Ad', '5h', '6s']
['7h', 'Jd', 'Kc', 'Ad', '5h', '6s']
['7h', 'Jd', 'Kc', 'Ad', '5h', '6s']
['7h', 'Jd', 'Kc', 'Ad', '5h', '6s']
['9h', '4s', '4d', '4h', '7s', '2h']
['9h', '4s', '4d', '4h', '7s', '2h']
['9h', '4s', '4d', '4h', '7s', '2h']
['9h', '4s', '4d', '4h', '7s', '2h']
['9h', '4s', '4d', '4h', '7s', '2h']
['9h', '8s', '8c', '3h', '9d', '4h']
['9h', '8s', '8c', '3h', '9d', '4h']
['9h', '8s', '8c', '3h', '9d', '4h']
['9h', '8s', '8c', '3h', '9d', '4h']
['9h', '8s', '8c', '3h', '9d', '4h']
['Jc', '9c', 'Ts', '6h', '9s', 'As']
['Jc', '9c', 'Ts', '6h', '9s', 'As']
['Jc', '9c', 'Ts', '6h', '9s', 'As']
['Jc', '9c', 'Ts', '6h', '9s', 'As']
['Jc', '9c', 'Ts', '6h', '9s', 'As']
['7s', '5c', 'Kd', '9h', '5s', '6s']
['7s', '5c', 'Kd', '9h', '5s', '6s']
['7s', '5c', 'Kd', '9h', '5s', '6s']
['7s', '5c', 'Kd', '9h', '5s', '6s']
